text,label
"Congratulations! You have been selected as the winner of a $1,000,000 lottery. Claim your prize now!",spam
You have won a FREE iPhone 15 Pro. Click here immediately to claim your reward before it expires!,spam
EXCLUSIVE OFFER: Buy one get one FREE on all products. Limited time only. Shop now!,spam
You are our lucky customer of the month! Claim your $500 gift card today. No purchase necessary.,spam
Congratulations! Our records show you qualify for a special reward. Reply to claim it now!,spam
WIN A FREE VACATION! You have been randomly selected. Click to confirm your prize!,spam
Special promotion just for you! Get 90% off on branded watches. Order now while stocks last!,spam
"Dear winner, your email address has won 750000 GBP in our annual draw. Contact us to claim.",spam
"Earn $5,000 per week working from home. No experience needed. Join thousands already making money!",spam
Nigerian prince here. I need your help transferring $45 million. You keep 30%. Reply urgently.,spam
"Make money fast with our proven system. Guaranteed $10,000 in 30 days or your money back!",spam
URGENT INVESTMENT OPPORTUNITY: Double your money in 7 days. Risk-free guaranteed returns!,spam
Get out of debt fast! We can erase your credit card debt legally. Call now for free consultation.,spam
"Crypto millionaire reveals secret strategy. Invest $200 today and earn $5,000 by next week!",spam
Your PayPal account has a pending payment of $892. Verify your account now to receive funds.,spam
Lose 30 lbs in just 30 days with this one weird trick doctors do not want you to know about!,spam
"Buy cheap prescription meds online. No doctor visit required. Viagra, Cialis and more. Discreet shipping.",spam
Scientists discover miracle weight loss pill. Burn fat while you sleep. Order your free trial now!,spam
Grow taller naturally! Our supplement is clinically proven to increase height by 3 inches in 60 days.,spam
Reverse diabetes in 30 days using this natural method. Big pharma does not want you to see this!,spam
Your bank account has been suspended due to suspicious activity. Verify your details immediately!,spam
ALERT: Your Netflix account will be cancelled. Update your payment information to continue service.,spam
Security notice: Unusual login detected on your Amazon account. Confirm your identity now or lose access.,spam
Your Apple ID has been locked. Verify your account within 24 hours to avoid permanent suspension.,spam
IRS NOTICE: You owe back taxes. Failure to call us back will result in your immediate arrest.,spam
Your email account storage is full. Click here to upgrade for free and avoid losing your emails.,spam
"Dear customer, your debit card has been blocked. Click the link below to reactivate it immediately.",spam
Hot singles in your area want to meet you tonight. Sign up free and start chatting now!,spam
You have 3 secret admirers! Find out who they are. Join our dating site free today!,spam
Win big at our online casino! First deposit bonus 300%. Sign up now and get free spins!,spam
"Get 10,000 Instagram followers overnight! Guaranteed real followers or full refund. Order now.",spam
Earn passive income online! No skills needed. We provide all the tools. Start earning today!,spam
"Hi team, the sprint planning meeting has been moved to Thursday at 2pm. Please update your calendars.",ham
Please find attached the Q3 financial report for your review. Let me know if you have any questions.,ham
Can you review my pull request when you get a chance? I have addressed all the previous comments.,ham
The client approved the proposal. Great work everyone! Kickoff call is scheduled for next Monday.,ham
Just a reminder that timesheets are due by end of day Friday. Please submit them to HR.,ham
I have rescheduled our 1-on-1 to 4pm today. Hope that works for you. Let me know if not.,ham
The server deployment is complete. All services are running normally. No action required from your end.,ham
Could you send me the updated project timeline? I need it before the stakeholder meeting tomorrow.,ham
We are targeting a release next Wednesday. Please make sure all your tickets are closed by Tuesday EOD.,ham
Thanks for covering my presentation yesterday. The client was really impressed with the demo.,ham
Here are the lecture notes from today class on data structures. The quiz on Friday covers chapters 4 to 6.,ham
Assignment 3 deadline has been extended to next Monday. Please submit via the portal by midnight.,ham
The professor has shared the midterm exam schedule. Please check the college portal for your slot.,ham
Library reminder: the books you borrowed are due this Saturday. Renew online to avoid a fine.,ham
Your internship application has been received. We will get back to you within 5 working days.,ham
Study group meeting tonight at 8pm in the common room. We will cover operating systems and networking.,ham
The seminar on machine learning and AI has been rescheduled to next Thursday at 11am in Hall B.,ham
Happy birthday! Hope you have an amazing day. Let us catch up over lunch sometime this week.,ham
Are you free this weekend? A few of us are planning a trip to the hills. Would love for you to join!,ham
Lunch at 1pm tomorrow? There is a new place near the office I have been wanting to try.,ham
Just wanted to say thank you for your help last week. Really appreciate you going out of your way!,ham
Mom wanted me to remind you about the family dinner on Sunday at 6pm. Do not be late this time!,ham
Your order #78423 has been shipped and is expected to arrive by Thursday. Track it on our website.,ham
Your appointment with Dr. Sharma is confirmed for Monday July 7th at 10:30am. Reply to reschedule.,ham
Your electricity bill of Rs. 1245 is due on July 10th. Pay online to avoid disconnection.,ham
Your food delivery order is on its way! Estimated delivery time: 25 minutes.,ham
Receipt for your recent payment of $49.99 to Spotify Premium. Thank you for your subscription.,ham
"Your cab is arriving in 3 minutes. Driver: Ramesh, White Swift, DL 4C AB 1234.",ham
